NMHC(GT);CO(GT);NO2(GT);NOx(GT);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);PT08.S3(NOx)
-200.0;1.9;106.0;?;24.2;8.7;29.7;0.9926;?;927.0;1475.0;836.0;830.0
-200.0;?;?;?;27.6;?;27.9;1.0252;1142.0;1035.0;1611.0;1062.0;746.0
-200.0;2.4;120.0;125.0;?;?;26.8;1.0402;1165.0;1043.0;?;1188.0;717.0
-200.0;2.2;114.0;132.0;33.0;?;?;1.0826;1136.0;995.0;1591.0;1236.0;727.0
?;?;70.0;57.0;33.1;5.5;26.3;1.1199;986.0;790.0;1422.0;?;869.0
-200.0;1.1;?;46.0;38.1;5.5;24.3;?;971.0;?;1447.0;875.0;871.0
-200.0;0.8;-200.0;-200.0;36.4;3.8;24.7;1.1158;908.0;701.0;?;?;971.0
-200.0;-200.0;55.0;34.0;39.5;?;23.3;1.1176;?;648.0;1338.0;666.0;?
-200.0;0.6;50.0;33.0;45.6;?;21.1;1.1246;?;674.0;1355.0;?;974.0
-200.0;0.7;62.0;50.0;48.5;?;20.2;1.1319;935.0;716.0;1415.0;?;915.0
-200.0;0.4;53.0;39.0;45.5;4.1;21.3;1.1405;?;718.0;?;?;927.0
-200.0;0.6;?;84.0;31.0;?;?;?;982.0;750.0;1417.0;881.0;893.0
-200.0;0.9;102.0;?;34.8;?;25.7;1.1292;1088.0;862.0;1519.0;1110.0;786.0
?;0.9;?;82.0;23.8;7.4;31.6;1.0842;1065.0;872.0;1481.0;927.0;831.0
-200.0;0.8;91.0;73.0;16.3;?;36.3;0.9727;1016.0;868.0;1407.0;665.0;889.0
?;?;62.0;?;15.0;?;37.9;0.9728;?;723.0;1263.0;474.0;?
-200.0;0.3;57.0;39.0;13.7;4.1;39.4;0.9639;?;?;1252.0;459.0;1060.0
-200.0;0.1;40.0;27.0;12.3;3.8;40.2;0.8983;889.0;698.0;1234.0;?;?
-200.0;?;60.0;?;?;5.8;41.3;0.9252;966.0;?;1383.0;?;968.0
-200.0;?;70.0;53.0;11.8;5.6;?;0.9282;?;?;1356.0;620.0;977.0
?;0.3;53.0;38.0;13.6;?;40.1;?;950.0;754.0;1325.0;551.0;1003.0
-200.0;0.4;?;39.0;16.4;5.3;37.6;1.0458;982.0;780.0;1374.0;532.0;974.0
-200.0;0.6;58.0;?;?;?;33.9;?;990.0;814.0;1399.0;578.0;?
-200.0;0.8;73.0;68.0;22.9;7.4;?;1.0469;?;873.0;1464.0;721.0;874.0
?;?;?;102.0;24.8;?;29.7;1.016;1067.0;?;1520.0;912.0;?
-200.0;1.6;102.0;123.0;?;?;29.0;1.063;1147.0;1040.0;1635.0;1155.0;745.0
-200.0;1.2;101.0;106.0;30.4;11.0;27.9;1.1249;1132.0;?;1628.0;1279.0;?
-200.0;?;77.0;?;30.6;6.0;28.0;1.1396;976.0;814.0;?;?;855.0
-200.0;0.3;55.0;43.0;32.3;4.3;?;1.1235;920.0;730.0;?;842.0;944.0
-200.0;0.1;51.0;33.0;33.0;2.8;26.6;1.1338;879.0;642.0;1343.0;?;1031.0
-200.0;-200.0;-200.0;-200.0;38.6;2.3;?;1.1159;854.0;?;1317.0;625.0;?
-200.0;?;50.0;33.0;42.8;2.9;22.2;1.1317;880.0;649.0;1374.0;739.0;1022.0
-200.0;?;75.0;75.0;?;?;21.2;1.1501;925.0;717.0;?;970.0;?
-200.0;0.8;89.0;111.0;46.5;?;21.4;1.172;1044.0;912.0;1604.0;1177.0;758.0
-200.0;2.3;112.0;250.0;43.0;16.6;?;1.1826;1279.0;1197.0;?;1518.0;599.0
-200.0;3.4;142.0;313.0;?;25.6;25.2;1.2215;1403.0;?;2234.0;?;508.0
-200.0;2.5;145.0;263.0;34.9;17.7;?;1.231;1282.0;1230.0;1924.0;?;594.0
-200.0;2.4;165.0;282.0;24.8;?;32.4;1.1886;1262.0;1187.0;1842.0;1603.0;633.0
?;2.1;159.0;226.0;18.0;?;36.8;?;1195.0;?;1732.0;?;?
-200.0;-200.0;?;176.0;16.0;14.3;39.1;1.11;?;1127.0;1678.0;1194.0;?
?;-200.0;131.0;?;16.4;10.8;?;1.1439;?;?;1534.0;?;777.0
-200.0;-200.0;123.0;96.0;?;10.1;40.5;1.111;1076.0;982.0;1523.0;748.0;799.0
-200.0;-200.0;129.0;?;13.8;10.9;41.4;?;1078.0;1012.0;1523.0;?;777.0
-200.0;-200.0;126.0;108.0;14.9;?;?;1.114;?;?;?;959.0;761.0
-200.0;-200.0;149.0;142.0;17.0;16.8;39.6;1.2064;1234.0;?;?;1160.0;658.0
?;?;200.0;219.0;19.8;20.7;37.7;1.2715;?;1316.0;?;1453.0;?
-200.0;-200.0;174.0;193.0;24.2;19.5;?;1.2857;1263.0;?;1863.0;1400.0;610.0
?;-200.0;131.0;?;28.1;14.6;?;1.2912;1216.0;1136.0;?;1265.0;658.0
-200.0;-200.0;135.0;127.0;30.8;14.3;30.2;?;1247.0;1127.0;1761.0;1366.0;?
-200.0;?;134.0;132.0;33.0;15.9;29.4;?;?;1177.0;?;1593.0;628.0
-200.0;-200.0;?;77.0;33.1;10.3;?;1.3202;1111.0;?;1619.0;1336.0;728.0
-200.0;-200.0;94.0;72.0;?;8.8;27.6;1.332;1068.0;931.0;1576.0;?;762.0
-200.0;?;79.0;57.0;36.9;6.8;27.2;1.3147;1015.0;850.0;1531.0;1173.0;802.0
?;-200.0;79.0;56.0;41.0;?;?;1.3079;989.0;827.0;?;1163.0;827.0
-200.0;-200.0;-200.0;-200.0;?;?;25.2;1.3106;930.0;?;1440.0;1012.0;924.0
-200.0;-200.0;?;64.0;?;?;23.4;1.3475;952.0;717.0;1481.0;1164.0;879.0
-200.0;-200.0;69.0;52.0;44.0;?;25.1;1.3794;981.0;747.0;1493.0;1090.0;856.0
?;-200.0;91.0;122.0;46.5;9.9;23.9;1.3637;1138.0;?;1716.0;?;683.0
-200.0;?;135.0;314.0;43.2;24.8;24.8;1.3387;1472.0;1424.0;2257.0;1808.0;499.0
-200.0;-200.0;166.0;395.0;?;37.3;?;1.361;1626.0;?;2643.0;2176.0;?
-200.0;-200.0;189.0;357.0;33.6;26.2;29.4;1.3526;1480.0;1460.0;2238.0;2028.0;?
-200.0;-200.0;193.0;308.0;?;21.6;34.8;1.2781;1367.0;?;2002.0;1758.0;567.0
?;?;164.0;184.0;18.5;?;38.1;1.2108;1245.0;1181.0;?;1350.0;645.0
-200.0;-200.0;139.0;128.0;18.0;13.0;?;1.2318;1194.0;1083.0;1632.0;1060.0;685.0
-200.0;-200.0;?;125.0;16.0;13.4;39.8;1.1444;?;1096.0;1615.0;954.0;713.0
-200.0;-200.0;129.0;135.0;12.5;13.7;41.7;0.9941;1107.0;1106.0;1615.0;1024.0;727.0
?;-200.0;?;158.0;?;14.0;42.8;1.0326;1127.0;1117.0;1625.0;1092.0;714.0
-200.0;-200.0;101.0;106.0;14.2;10.4;41.4;1.1128;1083.0;994.0;1544.0;927.0;771.0
?;?;?;163.0;?;17.5;41.3;1.21;1289.0;1225.0;1796.0;?;632.0
-200.0;?;133.0;143.0;19.4;12.9;38.3;1.2851;1209.0;1082.0;1662.0;?;685.0
?;-200.0;110.0;96.0;23.3;14.9;?;1.2653;?;1145.0;1753.0;1050.0;648.0
-200.0;-200.0;?;127.0;?;15.5;32.6;1.2754;?;1164.0;1793.0;1301.0;638.0
?;-200.0;102.0;95.0;29.0;11.2;30.9;1.275;1163.0;1022.0;1644.0;1141.0;695.0
-200.0;-200.0;104.0;104.0;30.2;14.3;30.1;?;1234.0;1126.0;1782.0;?;644.0
?;?;112.0;?;33.4;?;?;?;1240.0;?;1799.0;1300.0;645.0
-200.0;-200.0;89.0;92.0;36.8;?;28.3;1.3906;1128.0;978.0;1683.0;?;733.0
-200.0;?;67.0;53.0;?;7.6;27.6;1.3911;?;?;1574.0;?;?
-200.0;?;63.0;45.0;?;5.8;25.8;1.4113;1026.0;801.0;1545.0;1094.0;816.0
-200.0;-200.0;-200.0;-200.0;?;3.1;27.4;?;925.0;656.0;1440.0;917.0;967.0
-200.0;?;?;?;40.9;2.7;?;1.3803;917.0;635.0;?;727.0;1006.0
?;-200.0;73.0;75.0;50.1;5.4;23.3;1.41;1011.0;782.0;1562.0;1116.0;828.0
-200.0;-200.0;76.0;84.0;49.7;7.3;23.1;?;1079.0;869.0;1634.0;1223.0;751.0
-200.0;-200.0;102.0;160.0;?;18.4;24.2;1.3834;1322.0;?;1999.0;1556.0;562.0
-200.0;-200.0;140.0;286.0;42.2;27.7;25.8;1.3774;1526.0;1495.0;2405.0;1904.0;471.0
-200.0;-200.0;?;212.0;37.3;16.9;28.1;?;1338.0;?;1951.0;1697.0;576.0
-200.0;-200.0;?;279.0;26.8;22.1;33.9;1.397;1421.0;1354.0;2063.0;1854.0;545.0
-200.0;-200.0;162.0;?;17.2;17.0;?;1.1227;1197.0;1209.0;1770.0;?;656.0
-200.0;-200.0;138.0;140.0;15.9;12.4;38.9;1.0896;1116.0;1063.0;1571.0;?;736.0
-200.0;-200.0;?;110.0;15.0;?;40.4;1.1125;?;1031.0;1561.0;?;741.0
?;-200.0;86.0;67.0;15.2;7.5;40.1;1.1065;1018.0;880.0;?;613.0;865.0
?;?;107.0;?;14.2;10.3;42.0;1.1517;1109.0;989.0;1537.0;819.0;778.0
-200.0;-200.0;106.0;97.0;14.4;10.2;42.7;1.2092;1105.0;984.0;1532.0;868.0;767.0
-200.0;-200.0;99.0;87.0;14.5;11.5;41.6;?;1128.0;?;1576.0;876.0;733.0
-200.0;?;140.0;?;18.8;17.0;?;1.3413;1301.0;1210.0;1813.0;1153.0;623.0
-200.0;3.8;163.0;165.0;?;21.5;?;1.4949;1416.0;1339.0;1998.0;?;544.0
-200.0;?;144.0;164.0;29.9;18.6;33.3;1.5079;1301.0;1256.0;?;1382.0;?
-200.0;2.9;120.0;122.0;33.2;15.3;31.2;1.4831;1261.0;1158.0;1837.0;1303.0;628.0
-200.0;3.1;120.0;134.0;35.8;?;?;1.5034;1295.0;?;1917.0;1404.0;602.0
-200.0;3.5;?;121.0;39.1;14.4;28.9;1.537;1239.0;1129.0;1839.0;1308.0;637.0
-200.0;2.4;?;112.0;43.3;13.6;27.8;?;?;1103.0;1866.0;1320.0;627.0
-200.0;1.6;70.0;62.0;?;9.6;26.9;1.608;1125.0;963.0;?;1179.0;713.0
-200.0;1.3;67.0;50.0;47.1;6.4;26.4;?;1044.0;?;1580.0;1160.0;794.0
-200.0;?;-200.0;-200.0;?;?;25.2;1.621;976.0;754.0;1545.0;1070.0;842.0
-200.0;1.0;70.0;?;55.4;5.4;23.8;1.6073;1015.0;781.0;1595.0;1181.0;796.0
-200.0;0.8;50.0;48.0;?;4.1;24.9;1.5755;954.0;715.0;1527.0;1010.0;?
-200.0;1.1;60.0;58.0;?;6.3;25.0;1.5418;1032.0;826.0;1627.0;1075.0;781.0
-200.0;?;?;306.0;50.9;?;?;1.5593;1518.0;1476.0;2388.0;?;469.0
-200.0;-200.0;149.0;351.0;46.3;35.6;?;1.5722;1602.0;?;2662.0;?;?
-200.0;-200.0;?;252.0;42.0;?;28.1;1.5735;?;1225.0;2003.0;1826.0;551.0
-200.0;3.3;?;266.0;29.9;19.9;34.0;?;1394.0;1294.0;2031.0;1834.0;555.0
?;2.1;127.0;159.0;22.9;12.6;37.3;?;1205.0;1070.0;1735.0;1268.0;682.0
-200.0;2.1;130.0;144.0;19.0;?;40.1;1.3849;1210.0;?;1742.0;1422.0;?
?;?;?;?;15.8;12.2;?;1.2759;1138.0;1055.0;1624.0;1028.0;712.0
-200.0;1.5;113.0;108.0;14.3;11.1;42.8;?;1079.0;1019.0;1559.0;929.0;749.0
-200.0;2.1;143.0;?;13.0;?;44.3;?;?;1126.0;1654.0;1150.0;?
-200.0;2.3;157.0;166.0;12.6;15.1;44.6;1.1684;1186.0;1151.0;1686.0;1235.0;680.0
-200.0;2.8;170.0;179.0;14.8;18.6;?;1.2882;1261.0;1258.0;?;1315.0;?
-200.0;3.6;187.0;?;18.2;22.0;40.6;1.368;1339.0;1352.0;1990.0;1469.0;569.0
?;4.0;?;?;?;23.0;37.1;1.3223;?;1377.0;2017.0;1515.0;?
-200.0;3.7;158.0;228.0;25.5;21.1;?;?;1317.0;1327.0;1996.0;1510.0;?
-200.0;2.5;112.0;137.0;?;15.0;32.2;1.4433;1210.0;1148.0;1849.0;1327.0;639.0
-200.0;?;100.0;116.0;?;13.6;30.4;1.5144;1220.0;1105.0;1838.0;1318.0;?
-200.0;2.5;105.0;143.0;?;14.6;29.4;1.5581;1276.0;?;1887.0;1436.0;625.0
-200.0;2.7;107.0;157.0;38.7;16.3;28.6;1.4921;1270.0;1189.0;1917.0;1608.0;592.0
-200.0;1.3;72.0;72.0;40.5;8.8;?;?;?;933.0;1658.0;1257.0;743.0
-200.0;?;59.0;?;39.8;?;28.0;1.4803;?;813.0;1544.0;1094.0;846.0
-200.0;0.9;-200.0;-200.0;48.5;5.5;?;1.4953;954.0;790.0;1564.0;1066.0;?
-200.0;0.5;55.0;34.0;45.8;3.9;?;1.4801;912.0;706.0;1500.0;1022.0;891.0
-200.0;0.8;70.0;74.0;51.5;5.8;23.6;1.4852;973.0;802.0;?;1139.0;806.0
-200.0;1.0;?;75.0;46.5;8.2;?;1.4615;1037.0;906.0;1707.0;1158.0;?
?;2.9;95.0;?;48.3;20.1;24.5;1.4593;1306.0;?;2116.0;1602.0;519.0
-200.0;?;120.0;?;?;?;?;1.4675;?;1441.0;2283.0;1770.0;470.0
-200.0;3.5;133.0;236.0;37.6;?;29.0;?;1335.0;1340.0;2141.0;1651.0;519.0
-200.0;2.4;133.0;186.0;28.5;15.5;34.2;1.5071;1250.0;?;1925.0;1435.0;626.0
-200.0;1.8;120.0;132.0;22.9;11.2;37.3;1.4369;?;?;1670.0;?;712.0
?;2.1;132.0;140.0;17.5;15.4;40.1;?;1168.0;?;1784.0;?;671.0
?;2.1;?;?;14.6;14.6;42.2;1.192;1125.0;1137.0;1696.0;1094.0;691.0
-200.0;1.5;?;99.0;15.2;12.5;?;1.2173;?;?;?;912.0;?
-200.0;1.5;123.0;107.0;13.8;?;43.1;1.1803;1080.0;1059.0;1622.0;908.0;733.0
-200.0;1.8;129.0;130.0;13.8;13.2;42.8;1.1681;1085.0;1091.0;1638.0;1010.0;723.0
-200.0;2.1;129.0;133.0;16.5;14.7;41.1;1.2701;1115.0;1140.0;1746.0;?;682.0
?;?;156.0;188.0;?;?;38.7;1.3743;1259.0;?;1990.0;1280.0;600.0
-200.0;2.8;?;155.0;?;19.1;35.8;1.3924;?;1271.0;1971.0;?;?
-200.0;2.5;115.0;154.0;28.3;14.8;33.1;1.4121;1156.0;1144.0;1832.0;1216.0;651.0
-200.0;1.4;79.0;?;33.9;8.6;30.1;1.4257;?;922.0;1634.0;990.0;784.0
-200.0;1.7;86.0;?;36.6;11.0;29.0;1.4431;?;1014.0;?;?;?
-200.0;1.8;91.0;116.0;38.4;?;28.5;1.468;?;?;1831.0;1273.0;655.0
?;2.4;?;153.0;?;15.2;27.8;1.4682;1195.0;1156.0;1897.0;?;621.0
-200.0;?;?;111.0;42.8;12.1;27.0;1.503;?;1052.0;1785.0;1353.0;649.0
-200.0;1.4;?;?;44.5;?;26.4;1.5119;1075.0;?;1748.0;1231.0;695.0
-200.0;0.8;-200.0;-200.0;46.6;6.0;25.8;1.5269;973.0;810.0;1599.0;1002.0;820.0
-200.0;0.7;?;?;48.5;6.3;?;?;989.0;825.0;1602.0;1126.0;?
-200.0;0.8;?;61.0;52.2;5.5;24.6;1.5881;?;789.0;1597.0;995.0;810.0
-200.0;0.7;62.0;56.0;50.5;5.8;24.4;?;968.0;803.0;1586.0;?;?
-200.0;?;65.0;?;?;8.1;25.2;1.5546;1062.0;902.0;1715.0;1055.0;733.0
?;?;79.0;109.0;50.8;?;26.6;1.7419;1143.0;979.0;1829.0;1156.0;677.0
-200.0;1.9;90.0;111.0;46.9;9.9;28.0;?;1152.0;976.0;1800.0;1179.0;672.0
-200.0;2.3;116.0;?;?;13.1;32.7;1.6798;1238.0;1088.0;1883.0;1306.0;636.0
-200.0;1.7;89.0;87.0;26.5;9.2;36.6;1.599;1103.0;946.0;?;934.0;737.0
-200.0;1.3;68.0;?;26.3;?;37.8;1.6951;1043.0;843.0;1628.0;689.0;799.0
-200.0;1.2;53.0;?;27.1;6.5;?;?;1058.0;833.0;1623.0;626.0;804.0
?;?;?;34.0;32.4;3.4;35.4;1.837;960.0;?;1488.0;488.0;983.0
-200.0;?;?;37.0;?;3.8;?;1.8087;?;699.0;1505.0;495.0;982.0
-200.0;1.1;?;49.0;28.2;5.2;36.6;?;1012.0;775.0;?;562.0;899.0
-200.0;1.2;?;54.0;?;6.0;35.1;1.6452;1021.0;814.0;1545.0;615.0;858.0
?;1.3;82.0;70.0;?;6.0;?;1.59;?;812.0;1563.0;660.0;866.0
-200.0;1.4;88.0;?;37.9;5.6;29.9;1.5745;1026.0;791.0;1549.0;?;?
-200.0;?;70.0;59.0;41.9;4.4;28.2;?;966.0;735.0;1494.0;567.0;932.0
-200.0;0.9;53.0;44.0;45.9;3.7;27.2;1.6316;948.0;697.0;1475.0;?;983.0
-200.0;1.1;57.0;47.0;45.7;5.0;27.3;1.6308;984.0;762.0;1557.0;560.0;870.0
?;?;73.0;71.0;?;7.1;?;1.6573;?;859.0;1673.0;724.0;790.0
-200.0;1.7;83.0;90.0;69.3;7.9;23.7;?;?;893.0;1760.0;?;706.0
-200.0;0.9;52.0;45.0;?;?;23.8;1.8495;965.0;?;?;?;927.0
-200.0;?;52.0;44.0;56.9;?;24.7;1.739;?;687.0;?;?;949.0
-200.0;0.4;-200.0;-200.0;53.1;2.1;25.0;1.6541;851.0;589.0;1432.0;501.0;1119.0
-200.0;-200.0;26.0;15.0;59.6;2.0;?;1.7657;?;581.0;1463.0;450.0;1119.0
-200.0;?;17.0;10.0;69.1;1.3;?;1.8578;834.0;527.0;?;427.0;1242.0
-200.0;0.4;28.0;19.0;?;1.7;?;1.835;859.0;?;1476.0;?;1162.0
?;?;29.0;20.0;57.9;1.5;24.4;1.7476;843.0;?;?;?;1242.0
-200.0;?;37.0;30.0;56.9;1.6;24.5;1.7225;851.0;551.0;1443.0;463.0;1224.0
-200.0;0.5;31.0;24.0;54.8;1.7;24.9;1.7063;853.0;557.0;1435.0;454.0;1215.0
?;?;46.0;35.0;47.4;2.7;27.0;1.6661;908.0;632.0;1494.0;500.0;?
-200.0;0.9;66.0;48.0;43.7;3.6;27.6;1.5877;928.0;?;1491.0;?;?
-200.0;0.8;54.0;41.0;42.6;3.0;28.2;1.6062;905.0;652.0;1446.0;490.0;1076.0
-200.0;0.8;50.0;37.0;40.8;2.9;29.1;1.6203;901.0;646.0;1446.0;488.0;1105.0
-200.0;?;44.0;32.0;38.6;?;29.8;1.5911;869.0;619.0;1417.0;475.0;1163.0
-200.0;?;?;43.0;?;3.1;?;?;891.0;655.0;1452.0;486.0;?
?;?;37.0;28.0;36.3;2.3;31.2;1.6217;855.0;606.0;1403.0;438.0;1214.0
-200.0;0.8;51.0;38.0;?;?;?;1.7259;?;654.0;?;477.0;1102.0
?;1.2;78.0;72.0;47.5;4.0;27.6;1.7266;989.0;713.0;1552.0;626.0;?
-200.0;1.6;90.0;89.0;41.3;6.3;?;1.6164;1048.0;826.0;?;?;853.0
-200.0;?;110.0;103.0;41.6;6.6;28.5;1.5959;1049.0;839.0;1636.0;858.0;846.0
-200.0;1.5;86.0;?;43.4;7.3;27.7;1.5833;1035.0;868.0;1653.0;775.0;?
?;1.5;88.0;?;44.1;6.8;27.3;1.5751;1034.0;850.0;?;803.0;831.0
?;1.5;91.0;82.0;45.5;6.3;26.9;1.5926;1022.0;826.0;1627.0;777.0;857.0
-200.0;1.5;93.0;81.0;47.2;?;26.6;1.616;?;809.0;1611.0;?;?
-200.0;1.2;68.0;50.0;48.0;?;26.0;1.5882;945.0;755.0;1553.0;663.0;935.0
-200.0;0.8;?;30.0;45.7;2.9;?;1.5324;?;649.0;1465.0;529.0;1056.0
-200.0;-200.0;-200.0;-200.0;46.3;2.2;?;1.524;837.0;597.0;1414.0;478.0;1129.0
-200.0;?;22.0;?;46.8;1.8;25.6;?;822.0;?;1396.0;429.0;1204.0
-200.0;-200.0;59.0;?;47.6;2.5;25.3;1.5159;860.0;623.0;?;552.0;?
?;-200.0;102.0;120.0;?;?;?;1.5507;1023.0;847.0;1663.0;916.0;?
?;-200.0;116.0;180.0;?;11.2;26.5;1.5768;1150.0;1020.0;1842.0;1169.0;?
-200.0;-200.0;?;168.0;42.7;9.7;27.9;?;1088.0;965.0;1744.0;1049.0;?
?;-200.0;98.0;111.0;38.9;7.2;?;1.5184;?;?;?;823.0;?
-200.0;-200.0;97.0;?;31.5;?;31.7;1.4487;962.0;849.0;?;804.0;861.0
-200.0;-200.0;?;97.0;26.9;8.1;33.9;1.3964;974.0;905.0;1596.0;805.0;838.0
-200.0;-200.0;?;90.0;26.5;?;34.7;1.4408;998.0;913.0;?;826.0;834.0
-200.0;-200.0;92.0;87.0;24.8;8.6;35.4;?;964.0;923.0;1590.0;782.0;834.0
-200.0;-200.0;76.0;67.0;24.1;5.3;35.2;1.351;903.0;780.0;?;?;975.0
-200.0;-200.0;97.0;?;22.8;8.1;36.3;1.3564;973.0;903.0;1563.0;698.0;866.0
-200.0;?;101.0;86.0;23.8;8.2;35.4;?;976.0;907.0;1546.0;719.0;867.0
-200.0;-200.0;118.0;124.0;?;12.0;34.6;?;?;1048.0;1651.0;912.0;767.0
?;-200.0;129.0;144.0;28.2;17.6;33.0;1.3921;1163.0;1227.0;1931.0;?;659.0
-200.0;-200.0;?;130.0;27.9;14.5;?;1.3373;1082.0;1134.0;1763.0;1089.0;709.0
-200.0;-200.0;?;?;?;11.8;30.5;1.2875;1029.0;1042.0;1697.0;1062.0;756.0
-200.0;-200.0;106.0;82.0;?;9.4;29.1;1.3126;991.0;953.0;1616.0;924.0;815.0
-200.0;-200.0;92.0;?;35.8;7.0;?;1.3665;?;856.0;1549.0;780.0;881.0
-200.0;-200.0;97.0;65.0;37.9;8.0;?;1.3842;997.0;898.0;1613.0;?;?
?;-200.0;?;52.0;35.5;?;?;1.3414;912.0;810.0;?;861.0;873.0
-200.0;?;40.0;22.0;38.6;4.3;27.1;1.3632;861.0;?;1479.0;684.0;942.0
?;-200.0;49.0;27.0;40.9;4.1;25.8;1.3377;?;719.0;1466.0;707.0;949.0
?;?;-200.0;-200.0;?;2.0;26.0;1.3467;784.0;587.0;1392.0;554.0;1128.0
?;-200.0;46.0;29.0;43.4;2.4;24.6;1.3248;800.0;615.0;1396.0;614.0;?
-200.0;?;37.0;29.0;42.3;2.7;25.1;1.326;825.0;634.0;1402.0;606.0;1035.0
?;-200.0;92.0;135.0;48.8;6.9;23.1;1.3638;996.0;853.0;?;1023.0;796.0
-200.0;-200.0;115.0;181.0;46.8;9.2;24.7;1.4337;1086.0;?;1724.0;1134.0;724.0
-200.0;-200.0;102.0;119.0;45.1;?;24.6;?;1041.0;962.0;1694.0;936.0;728.0
-200.0;-200.0;104.0;116.0;38.5;9.1;26.2;1.2932;991.0;944.0;1608.0;868.0;?
-200.0;?;109.0;143.0;31.0;?;29.3;1.2445;999.0;953.0;1600.0;879.0;780.0
-200.0;-200.0;108.0;126.0;?;8.5;31.2;1.192;981.0;918.0;1572.0;785.0;?
-200.0;-200.0;90.0;94.0;26.2;?;?;1.1619;?;?;1478.0;?;894.0
-200.0;?;81.0;96.0;26.4;6.9;31.7;?;939.0;853.0;1528.0;679.0;890.0
?;-200.0;87.0;90.0;25.6;?;31.7;1.179;915.0;?;1474.0;630.0;?
-200.0;?;82.0;?;22.5;6.2;32.6;1.0901;883.0;820.0;1413.0;594.0;942.0
-200.0;?;99.0;101.0;22.2;7.3;32.8;1.0835;926.0;869.0;?;655.0;925.0
-200.0;-200.0;119.0;123.0;22.4;10.7;32.4;1.0701;989.0;1004.0;1577.0;783.0;818.0
-200.0;-200.0;?;136.0;22.7;11.9;?;1.027;1003.0;1045.0;1602.0;865.0;781.0
?;-200.0;111.0;109.0;?;10.6;?;0.9404;?;1001.0;1536.0;776.0;?
-200.0;?;114.0;124.0;24.2;9.3;27.7;0.882;912.0;951.0;?;?;846.0
-200.0;?;100.0;?;28.3;6.7;26.1;0.9456;888.0;843.0;1438.0;?;?
-200.0;-200.0;88.0;69.0;28.4;7.2;25.3;0.9041;858.0;866.0;1421.0;715.0;874.0
?;-200.0;78.0;60.0;27.7;5.9;?;0.874;837.0;809.0;1355.0;615.0;940.0
-200.0;-200.0;?;90.0;28.0;8.7;24.5;0.8489;?;929.0;?;824.0;835.0
-200.0;-200.0;?;?;31.9;6.8;23.6;0.9195;860.0;847.0;?;748.0;873.0
?;-200.0;78.0;?;?;3.8;?;?;794.0;?;1336.0;?;999.0
-200.0;-200.0;-200.0;-200.0;33.2;2.2;?;0.9577;?;602.0;?;?;1156.0
-200.0;-200.0;65.0;45.0;41.2;3.2;20.5;0.9802;779.0;663.0;1337.0;671.0;1022.0
?;-200.0;74.0;61.0;41.5;3.9;20.6;0.9982;798.0;706.0;1363.0;798.0;977.0
-200.0;?;?;76.0;42.5;6.3;20.2;0.9949;851.0;?;1449.0;912.0;?
?;-200.0;96.0;144.0;40.4;13.6;20.9;0.9884;1048.0;1105.0;1726.0;1151.0;670.0
?;-200.0;?;?;38.0;26.7;22.4;1.0201;?;1472.0;2112.0;?;515.0
?;-200.0;147.0;282.0;?;22.8;26.0;0.9831;?;1372.0;1964.0;1465.0;575.0
-200.0;-200.0;?;235.0;18.6;16.2;31.4;0.8398;1026.0;1186.0;1662.0;1138.0;719.0
?;-200.0;91.0;113.0;15.8;10.4;34.2;?;?;?;?;763.0;872.0
-200.0;-200.0;?;93.0;15.3;11.3;35.4;0.8649;938.0;1025.0;?;?;829.0
-200.0;-200.0;95.0;88.0;15.5;9.6;34.6;?;908.0;962.0;1409.0;665.0;877.0
-200.0;?;92.0;87.0;16.2;7.8;33.9;0.8454;892.0;889.0;?;?;909.0
-200.0;-200.0;113.0;109.0;15.0;?;35.3;0.8463;?;?;1473.0;?;830.0
-200.0;-200.0;111.0;106.0;13.7;?;36.8;0.8335;956.0;?;1464.0;?;838.0
-200.0;-200.0;166.0;182.0;16.4;17.3;?;0.8761;1070.0;1218.0;1697.0;1108.0;704.0
-200.0;-200.0;-200.0;-200.0;16.8;17.7;35.3;0.9448;1103.0;1232.0;1732.0;1085.0;679.0
-200.0;?;143.0;144.0;20.7;15.5;?;0.9875;1074.0;1166.0;1713.0;?;?
-200.0;-200.0;131.0;144.0;26.1;13.6;29.6;1.0682;1086.0;1105.0;1682.0;1109.0;710.0
-200.0;?;?;84.0;?;9.6;28.6;1.048;?;964.0;1532.0;913.0;780.0
-200.0;-200.0;94.0;74.0;?;9.5;27.6;0.9926;?;958.0;1528.0;908.0;783.0
-200.0;-200.0;96.0;80.0;29.0;8.5;?;0.9807;939.0;?;1472.0;923.0;805.0
-200.0;-200.0;88.0;78.0;30.1;9.0;25.4;?;954.0;?;?;959.0;776.0
?;-200.0;?;50.0;?;?;?;0.9878;925.0;890.0;1480.0;898.0;808.0
-200.0;-200.0;?;18.0;30.9;2.6;25.7;1.0048;797.0;624.0;?;546.0;1074.0
-200.0;-200.0;-200.0;-200.0;32.6;2.4;25.1;1.0203;787.0;610.0;1259.0;543.0;1087.0
-200.0;-200.0;33.0;21.0;34.4;1.9;23.9;1.0079;?;577.0;1265.0;?;1158.0
-200.0;-200.0;60.0;62.0;40.3;3.7;21.4;1.0157;838.0;693.0;?;704.0;?
